timestamp;x;y;z,
8,41494E+12;-0.23463176;0.641646;9.595.961
8,41495E+12;-0.22026655;0.62249243;9.581.595
8,41496E+12;-0.23942018;0.62728083;9.610.326
8,41497E+12;-0.23463176;0.60333884;9.576.807
8,41498E+12;-0.21068975;0.60333884;9.610.326
8,41499E+12;-0.20590134;0.61770403;9.595.961
8,415E+12;-0.25857377;0.58897364;9.600.749
8,41501E+12;-0.25857377;0.59855044;9.572.019
8,41502E+12;-0.22505496;0.60333884;9.629.479
8,41503E+12;-0.22505496;0.641646;9.600.749
8,41504E+12;-0.24420857;0.60812724;9.624.691
8,41505E+12;-0.20590134;0.61291564;965.821
8,41506E+12;-0.19153613;0.60333884;9.629.479
8,41507E+12;-0.21547815;0.61291564;9.605.537
8,41508E+12;-0.22026655;0.6655881;9.543.288
8,41509E+12;-0.23942018;0.61291564;9.629.479
8,4151E+12;-0.25857377;0.62249243;9.581.595
8,41511E+12;-0.25378537;0.60812724;9.591.172
8,41512E+12;-0.21068975;0.61291564;9.595.961
8,41513E+12;-0.23942018;0.61770403;9.643.845
8,41514E+12;-0.22505496;0.5793968;9.572.019
8,41515E+12;-0.22026655;0.60333884;9.615.114
8,41516E+12;-0.22505496;0.5650316;9.595.961
8,41517E+12;-0.22984336;0.59855044;9.610.326
8,41518E+12;-0.21547815;0.641646;9.619.903
8,41519E+12;-0.25378537;0.59376204;9.576.807
8,4152E+12;-0.21547815;0.63206923;9.591.172
8,41521E+12;-0.24420857;0.6512229;9.605.537
8,41522E+12;-0.25378537;0.62249243;956.723
8,41523E+12;-0.24899697;0.58897364;9.653.421
8,41524E+12;-0.23463176;0.59855044;9.576.807
8,41525E+12;-0.19153613;0.5793968;9.624.691
8,41526E+12;-0.24899697;0.59376204;9.586.384
8,41527E+12;-0.20590134;0.61770403;9.595.961
8,41528E+12;-0.21547815;0.6464345;9.610.326
8,41529E+12;-0.22984336;0.62728083;9.639.056
8,4153E+12;-0.17238252;0.56982;9.595.961
8,41531E+12;-0.19632454;0.61291564;9.591.172
8,41532E+12;-0.20590134;0.62249243;9.634.268
8,41533E+12;-0.25378537;0.61291564;9.667.787
8,41534E+12;-0.22505496;0.62249243;9.624.691
8,41535E+12;-0.24899697;0.59376204;9.672.575
8,41536E+12;-0.2633622;0.62249243;9.615.114
8,41537E+12;-0.2777274;0.62728083;9.576.807
8,41538E+12;-0.25857377;0.641646;9.533.711
8,41539E+12;-0.22984336;0.60333884;9.600.749
8,4154E+12;-0.22026655;0.6560113;9.744.401
8,41541E+12;-0.2633622;0.6464345;9.682.152
8,41542E+12;-0.23463176;0.59855044;965.821
8,41543E+12;-0.20111294;0.62728083;95.385
8,41544E+12;-0.22984336;0.62728083;9.595.961
8,41545E+12;-0.20111294;0.5746084;9.586.384
8,41546E+12;-0.22026655;0.58418524;9.643.845
8,41547E+12;-0.20590134;0.5746084;9.562.442
8,41548E+12;-0.22026655;0.5650316;9.615.114
8,41549E+12;-0.2777274;0.5746084;9.528.923
8,4155E+12;-0.2633622;0.60333884;956.723
8,41551E+12;-0.29209262;0.6464345;9.533.711
8,41552E+12;-0.20590134;0.62728083;965.821
8,41553E+12;-0.24899697;0.641646;9.619.903
8,41554E+12;-0.2681506;0.63206923;9.615.114
8,41555E+12;-0.2873042;0.59376204;9.643.845
8,41556E+12;-0.24899697;0.5793968;9.586.384
8,41557E+12;-0.22026655;0.6560113;9.610.326
8,41558E+12;-0.21068975;0.59855044;9.639.056
8,41559E+12;-0.22505496;0.5793968;9.581.595
8,4156E+12;-0.21068975;0.61770403;9.543.288
8,41561E+12;-0.17717093;0.58897364;9.629.479
8,41562E+12;-0.23942018;0.60812724;9.591.172
8,41563E+12;-0.19153613;0.59855044;9.586.384
8,41564E+12;-0.19632454;0.62249243;9.543.288
8,41565E+12;-0.24899697;0.61770403;9.600.749
8,41566E+12;-0.22505496;0.6703765;9.624.691
